RankTier,Standard,Doubles,SoloDuel,SoloStandard
Bronze 1,0.016,0.0597,0.0265,0.025
Bronze 2,0.0201,0.053,0.0362,0.0298
Bronze 3,0.0359,0.0735,0.0612,0.0417
Silver 1,0.0571,0.0916,0.0946,0.0598
Silver 2,0.0798,0.0991,0.1179,0.076
Silver 3,0.0951,0.0966,0.1251,0.0917
Gold 1,0.1057,0.092,0.1234,0.1054
Gold 2,0.1027,0.0801,0.1054,0.1062
Gold 3,0.1205,0.0882,0.085,0.0984
Platinum 1,0.1059,0.0749,0.0688,0.0928
Platinum 2,0.0805,0.0561,0.0646,0.0957
Platinum 3,0.0574,0.041,0.04,0.0679
Diamond 1,0.045,0.0328,0.0241,0.0479
Diamond 2,0.031,0.0229,0.0136,0.0287
Diamond 3,0.0272,0.0206,0.0077,0.0174
Champion 1,0.0143,0.0124,0.0047,0.012
Champion 2,0.0039,0.0036,0.0008,0.0026
Champion 3,0.0012,0.0012,0.0002,0.0007
Grand Champion,0.0006,0.0008,0.0002,0.0003
