RankTier,Standard,Doubles,SoloDuel,SoloStandard,Rumble,Dropshot,Hoops,SnowDay
Bronze 1,0.0098,0.0378,0.0109,0.0116,0.0007,0.0001,0,0.0004
Bronze 2,0.0172,0.0501,0.0383,0.0305,0.0033,0.0009,0.0003,0.0018
Bronze 3,0.0312,0.0692,0.0683,0.041,0.008,0.0029,0.0011,0.0052
Silver 1,0.0505,0.0857,0.103,0.0587,0.0171,0.0086,0.0043,0.0121
Silver 2,0.0704,0.0926,0.1227,0.0748,0.0319,0.0191,0.0127,0.0225
Silver 3,0.0845,0.0903,0.1252,0.0879,0.051,0.035,0.0275,0.0386
Gold 1,0.0957,0.0879,0.1242,0.1028,0.0757,0.0605,0.0531,0.058
Gold 2,0.095,0.0779,0.1042,0.1027,0.0979,0.0877,0.0827,0.0794
Gold 3,0.1133,0.0874,0.0823,0.0958,0.1108,0.1112,0.1065,0.0974
Platinum 1,0.105,0.0775,0.0679,0.0918,0.1258,0.1324,0.1335,0.1185
Platinum 2,0.0839,0.0602,0.0491,0.0762,0.1216,0.1346,0.1388,0.1244
Platinum 3,0.0631,0.0466,0.0344,0.0602,0.1038,0.1237,0.1287,0.1155
Diamond 1,0.0531,0.0393,0.0243,0.0616,0.0862,0.1028,0.108,0.1019
Diamond 2,0.0397,0.0292,0.0168,0.0423,0.0678,0.0782,0.0812,0.0852
Diamond 3,0.0412,0.0294,0.0108,0.0269,0.051,0.0594,0.0658,0.0703
Champion 1,0.0261,0.0202,0.0089,0.0183,0.0277,0.0272,0.0331,0.0384
Champion 2,0.0122,0.0105,0.0049,0.0104,0.0133,0.0111,0.015,0.0204
Champion 3,0.0053,0.0052,0.002,0.005,0.0036,0.0028,0.0039,0.0052
Grand Champion,0.0029,0.0032,0.0016,0.0017,0.0028,0.0017,0.0038,0.0048
